City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sitka,US,67.89,few clouds,57.0531,-135.33,Westmark Sitka
3,Talnakh,RU,59.38,light rain,69.4865,88.3972,Talnakh Hotel
4,Arraial Do Cabo,BR,63.23,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
7,Udankudi,IN,79.77,overcast clouds,8.4333,78.0167,"SRI ANANDHI TRADERS,UDANGUDI"
10,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
11,Kapaa,US,87.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Iquitos,PE,68.04,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
13,Yellowknife,CA,72.28,broken clouds,62.456,-114.3525,The Explorer Hotel
14,Belmonte,BR,73.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
17,Jamestown,US,76.32,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Muisne,EC,75.24,overcast clouds,0.6,-80.0333,Quinta Samay
19,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
20,Uryupinsk,RU,68.88,overcast clouds,50.8047,42.0138,"Guest house ""Eco-house"""
21,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
23,Hilo,US,83.93,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Maningrida,AU,84.63,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
25,Novikovo,RU,66.11,overcast clouds,51.1537,37.8879,
26,Sobolevo,RU,63.21,broken clouds,54.4299,31.8996,
28,Honiara,SB,87.3,clear sky,-9.4333,159.95,Heritage Park Hotel
29,Rikitea,PF,71.64,clear sky,-23.1203,-134.9692,People ThankYou
31,Isfana,KG,63.16,overcast clouds,39.8386,69.5306,Sayakat
33,Albany,US,71.67,overcast clouds,42.6001,-73.9662,
35,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
36,Saint-Georges,GD,80.28,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
39,Batagay-Alyta,RU,63.41,clear sky,67.8006,130.4114,
41,Bethel,US,72.54,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
42,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
43,Eydhafushi,MV,82.24,broken clouds,5.1033,73.0708,Soneva Fushi
46,Broome,US,72.55,overcast clouds,42.2506,-75.833,Chenango Valley State Park
