City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sitka,US,57.0531,-135.33,67.89,64,20,4.61,few clouds
1,Bilma,NE,18.6853,12.9164,93.42,29,30,6.96,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,42.46,49,40,13.8,scattered clouds
3,Talnakh,RU,69.4865,88.3972,59.38,82,100,4.88,light rain
4,Arraial Do Cabo,BR,-22.9661,-42.0278,63.23,56,99,21.7,overcast clouds
5,Busselton,AU,-33.65,115.3333,49.08,70,85,26.44,overcast clouds
6,Tuatapere,NZ,-46.1333,167.6833,50.83,77,100,1.77,overcast clouds
7,Udankudi,IN,8.4333,78.0167,79.77,68,100,5.28,overcast clouds
8,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,14,6.91,few clouds
9,Mataura,NZ,-46.1927,168.8643,50.49,78,100,3.47,overcast clouds
10,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,16.11,scattered clouds
11,Kapaa,US,22.0752,-159.319,87.78,70,75,5.01,broken clouds
12,Iquitos,PE,-3.7481,-73.2472,68.04,94,90,8.05,overcast clouds
13,Yellowknife,CA,62.456,-114.3525,72.28,46,75,11.5,broken clouds
14,Belmonte,BR,-15.8631,-38.8828,73.9,89,68,16.55,broken clouds
15,Chokurdakh,RU,70.6333,147.9167,49.8,46,76,5.26,broken clouds
16,Deputatskiy,RU,69.3,139.9,53.73,45,98,4.16,overcast clouds
17,Jamestown,US,42.097,-79.2353,76.32,78,90,13.8,overcast clouds
18,Muisne,EC,0.6,-80.0333,75.24,81,93,7.67,overcast clouds
19,Hithadhoo,MV,-0.6,73.0833,82.18,71,98,4.14,overcast clouds
20,Uryupinsk,RU,50.8047,42.0138,68.88,78,100,2.37,overcast clouds
21,Komsomolskiy,UZ,40.4272,71.7189,79.52,22,97,2.3,overcast clouds
22,Vestmannaeyjar,IS,63.4427,-20.2734,54.36,90,27,6.53,scattered clouds
23,Hilo,US,19.7297,-155.09,83.93,70,75,9.22,broken clouds
24,Maningrida,AU,-12.0667,134.2667,84.63,38,4,8.25,clear sky
25,Novikovo,RU,51.1537,37.8879,66.11,90,86,6.8,overcast clouds
26,Sobolevo,RU,54.4299,31.8996,63.21,98,79,4.07,broken clouds
27,Pevek,RU,69.7008,170.3133,32.04,98,100,25.64,snow
28,Honiara,SB,-9.4333,159.95,87.3,64,8,6.55,clear sky
