City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,69.39,83,92,16.15,light rain
1,Kribi,CM,2.95,9.9167,75.54,89,65,5.88,light rain
2,Bluff,NZ,-46.6,168.3333,49.8,73,91,4.99,overcast clouds
3,Bredasdorp,ZA,-34.5322,20.0403,49.32,87,4,6.91,clear sky
4,Koutsouras,GR,35.0339,25.9469,82.53,52,0,14.67,clear sky
5,Lata,PT,40.1629,-8.3327,61.81,98,3,1.74,clear sky
6,Lorengau,PG,-2.0226,147.2712,84.61,71,22,4.07,few clouds
7,Mataura,NZ,-46.1927,168.8643,49.48,78,91,4.29,overcast clouds
8,Albany,US,42.6001,-73.9662,71.67,91,100,6.49,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,71.62,77,24,3.6,few clouds
10,Cape Town,ZA,-33.9258,18.4232,49.1,96,0,1.01,clear sky
11,Kapaa,US,22.0752,-159.319,87.78,69,75,1.99,broken clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,71.71,87,55,8.39,broken clouds
13,Busselton,AU,-33.65,115.3333,49.08,73,100,27.58,overcast clouds
14,Belyy Yar,RU,53.6039,91.3903,55.29,88,0,0.0,clear sky
15,Nanortalik,GL,60.1432,-45.2371,45.63,84,90,17.16,overcast clouds
16,Georgetown,MY,5.4112,100.3354,77.9,88,20,3.44,few clouds
17,Geraldton,AU,-28.7667,114.6,63.12,72,75,23.02,broken clouds
18,Cherskiy,RU,68.75,161.3,37.27,65,100,20.24,overcast clouds
19,Bengkulu,ID,-3.8004,102.2655,75.09,88,87,4.65,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,20.71,clear sky
21,Avera,US,33.194,-82.5271,91.71,58,2,5.53,clear sky
22,East London,ZA,-33.0153,27.9116,58.1,67,4,7.18,clear sky
23,Jamestown,US,42.097,-79.2353,74.84,78,75,14.97,broken clouds
24,Vaini,TO,-21.2,-175.2,77.16,83,40,9.22,scattered clouds
25,Olafsvik,IS,64.8945,-23.7142,53.04,86,97,6.29,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,42.46,49,40,13.8,scattered clouds
27,Avarua,CK,-21.2078,-159.775,77.05,61,90,10.36,overcast clouds
28,Severo-Kurilsk,RU,50.6789,156.125,60.78,92,91,3.6,overcast clouds
29,Mogadishu,SO,2.0371,45.3438,75.94,79,95,19.98,overcast clouds
30,Sanmenxia,CN,34.7747,111.1814,80.29,63,2,1.12,clear sky
31,Port Alfred,ZA,-33.5906,26.891,55.58,85,2,10.0,clear sky
32,Fairbanks,US,64.8378,-147.7164,69.6,60,90,4.61,overcast clouds
33,Praia,CV,14.9215,-23.5087,77.54,73,75,12.66,broken clouds
34,Torbay,CA,47.6666,-52.7314,61.57,73,20,16.11,few clouds
35,Chumikan,RU,54.7183,135.315,52.38,94,100,22.55,light rain
36,Manakara,MG,-22.1333,48.0167,67.59,82,99,5.3,overcast clouds
37,Port Elizabeth,ZA,-33.918,25.5701,52.09,87,0,6.91,clear sky
38,Souillac,MU,-20.5167,57.5167,69.37,83,75,25.32,light rain
39,Namibe,AO,-15.1961,12.1522,63.97,82,14,0.31,few clouds
40,Tiksi,RU,71.6872,128.8694,55.09,50,70,2.08,broken clouds
41,Mahajanga,MG,-15.7167,46.3167,73.42,60,20,6.91,few clouds
42,Haines Junction,CA,60.7522,-137.5108,67.95,45,21,8.05,few clouds
43,Tessalit,ML,20.1986,1.0114,86.5,43,94,8.3,overcast clouds
44,Tabas,IR,33.5959,56.9244,82.87,29,0,5.01,clear sky
45,Monaghan,IE,54.25,-6.9667,58.39,93,100,4.52,overcast clouds
46,Saint George,US,37.1041,-113.5841,102.67,26,1,11.99,clear sky
47,Hermanus,ZA,-34.4187,19.2345,51.91,82,11,7.14,few clouds
48,Carutapera,BR,-1.195,-46.02,75.2,94,33,6.22,scattered clouds
49,Safford,US,32.834,-109.7076,92.07,48,1,9.75,clear sky
50,Longyearbyen,SJ,78.2186,15.6401,44.44,76,75,5.75,light rain
51,Isangel,VU,-19.55,169.2667,80.71,69,75,0.0,broken clouds
52,Atuona,PF,-9.8,-139.0333,76.8,81,68,14.52,light rain
53,Mar Del Plata,AR,-38.0023,-57.5575,52.12,68,0,3.0,clear sky
54,Kathmandu,NP,27.7167,85.3167,70.02,100,75,2.3,broken clouds
55,Carnarvon,AU,-24.8667,113.6333,64.47,71,90,9.22,overcast clouds
56,Porto Velho,BR,-8.7619,-63.9039,69.85,49,0,2.3,clear sky
57,Mehamn,NO,71.0357,27.8492,43.75,84,100,4.29,overcast clouds
58,Port Hardy,CA,50.6996,-127.4199,69.98,73,20,11.5,few clouds
59,Nikolskoye,RU,59.7035,30.7861,65.39,93,22,5.14,few clouds
60,Miraflores,MX,19.2167,-98.8083,72.25,76,98,3.15,overcast clouds
61,Hobyo,SO,5.3505,48.5268,76.55,79,99,24.63,overcast clouds
62,Lagoa,PT,39.05,-27.9833,69.87,90,4,9.31,clear sky
63,Clyde River,CA,70.4692,-68.5914,43.03,87,1,14.97,clear sky
64,Whyalla,AU,-33.0333,137.5833,64.29,34,75,14.97,broken clouds
65,Andenes,NO,69.3143,16.1194,48.18,93,40,24.16,scattered clouds
66,Sao Filipe,CV,14.8961,-24.4956,75.63,78,100,5.59,overcast clouds
67,Saskylakh,RU,71.9167,114.0833,78.6,41,16,6.24,few clouds
68,Yellowknife,CA,62.456,-114.3525,70.32,46,75,5.01,broken clouds
69,Dikson,RU,73.5069,80.5464,44.35,81,100,12.93,overcast clouds
70,Khatanga,RU,71.9667,102.5,75.96,57,1,10.85,clear sky
71,Walvis Bay,NA,-22.9575,14.5053,54.09,82,0,3.44,clear sky
72,Sri Aman,MY,1.2376,111.4621,73.45,100,40,4.61,light rain
73,Saldanha,ZA,-33.0117,17.9442,44.65,85,0,5.19,clear sky
74,New Norfolk,AU,-42.7826,147.0587,53.92,72,100,3.0,overcast clouds
75,Deputatskiy,RU,69.3,139.9,51.31,49,90,3.83,overcast clouds
76,Besikduzu,TR,41.052,39.2284,76.89,79,0,7.76,clear sky
77,Angul,IN,20.85,85.1,75.65,92,100,11.72,heavy intensity rain
78,Klaksvik,FO,62.2266,-6.589,52.72,91,100,15.57,overcast clouds
79,Bell Ville,AR,-32.6259,-62.6887,44.58,44,0,8.37,clear sky
80,Airai,TL,-8.9266,125.4092,68.2,46,28,3.44,scattered clouds
81,Mahebourg,MU,-20.4081,57.7,69.26,83,75,25.32,light rain
