City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Talnakh,RU,2021-07-27 19:43:53,69.4865,88.3972,66.07,86,79,6.98
1,Carnarvon,AU,2021-07-27 19:43:53,-24.8667,113.6333,59.07,54,90,4.61
2,Ushuaia,AR,2021-07-27 19:43:53,-54.8,-68.3,37.06,87,90,0.0
3,Pacific Grove,US,2021-07-27 19:43:54,36.6177,-121.9166,93.61,77,1,7.0
4,Jhajjar,IN,2021-07-27 19:43:54,28.6063,76.6565,86.32,76,100,5.3
5,Ayios Nikolaos,GR,2021-07-27 19:43:54,38.4167,23.65,88.75,33,0,0.0
6,Bredasdorp,ZA,2021-07-27 19:43:55,-34.5322,20.0403,56.52,72,100,17.27
7,Mataura,NZ,2021-07-27 19:43:55,-46.1927,168.8643,48.47,97,25,1.25
8,Bluff,NZ,2021-07-27 19:43:55,-46.6,168.3333,48.79,70,15,16.73
9,Kaitangata,NZ,2021-07-27 19:43:56,-46.2817,169.8464,48.92,63,59,4.45
10,Mahebourg,MU,2021-07-27 19:43:56,-20.4081,57.7,67.24,100,75,11.5
11,Ancud,CL,2021-07-27 19:43:56,-41.8697,-73.8203,49.53,73,97,2.51
12,Colares,PT,2021-07-27 19:43:56,38.7992,-9.4469,71.29,69,20,17.0
13,Hasaki,JP,2021-07-27 19:43:57,35.7333,140.8333,73.69,81,40,13.6
14,Yellowknife,CA,2021-07-27 19:43:57,62.456,-114.3525,58.32,58,75,1.01
15,Carutapera,BR,2021-07-27 19:43:57,-1.195,-46.02,81.72,73,25,8.08
16,San Cristobal,VE,2021-07-27 19:43:58,7.7669,-72.225,80.78,50,24,5.59
17,Victoria,HK,2021-07-27 19:43:58,22.2855,114.1577,87.96,87,97,4.0
18,Nerchinskiy Zavod,RU,2021-07-27 19:43:58,51.3088,119.61,55.63,97,49,0.67
19,Mount Isa,AU,2021-07-27 19:43:59,-20.7333,139.5,47.97,66,100,0.0
20,Dankov,RU,2021-07-27 19:43:59,53.2515,39.1555,66.43,71,27,4.09
21,Hithadhoo,MV,2021-07-27 19:43:59,-0.6,73.0833,80.92,78,95,8.12
22,Los Llanos De Aridane,ES,2021-07-27 19:44:00,28.6585,-17.9182,69.55,90,75,18.41
23,Cherskiy,RU,2021-07-27 19:44:00,68.75,161.3,36.73,83,100,16.46
24,Saint-Philippe,RE,2021-07-27 19:44:00,-21.3585,55.7679,69.35,83,48,11.9
25,Rocha,UY,2021-07-27 19:44:01,-34.4833,-54.3333,45.28,63,13,17.52
26,Kahului,US,2021-07-27 19:44:01,20.8947,-156.47,82.42,74,40,14.97
27,Rikitea,PF,2021-07-27 19:44:01,-23.1203,-134.9692,74.3,77,100,15.82
28,Samarai,PG,2021-07-27 19:44:02,-10.6167,150.6667,77.94,87,75,12.01
29,Punta Arenas,CL,2021-07-27 19:42:16,-53.15,-70.9167,42.91,87,75,11.5
30,Pevek,RU,2021-07-27 19:44:02,69.7008,170.3133,33.91,93,100,12.5
31,Albany,US,2021-07-27 19:43:47,42.6001,-73.9662,89.62,59,27,1.01
32,Atuona,PF,2021-07-27 19:44:03,-9.8,-139.0333,77.86,70,20,19.01
33,Belaya Gora,RU,2021-07-27 19:44:03,68.5333,146.4167,41.77,77,100,11.56
34,Paso De Los Toros,UY,2021-07-27 19:44:03,-32.8167,-56.5167,46.9,58,26,16.84
35,Busselton,AU,2021-07-27 19:43:05,-33.65,115.3333,46.04,64,100,12.33
36,Maler Kotla,IN,2021-07-27 19:44:04,30.5167,75.8833,78.73,96,100,8.66
37,Puerto Ayora,EC,2021-07-27 19:44:04,-0.7393,-90.3518,76.96,69,18,10.47
